# Source: pgeocode/GeoNames (https://www.geonames.org/) — CC BY 4.0
# Downloaded: 2026-04-10
# Fields: zip, lat, lng, city, state_id, state_name, county
zip,lat,lng,city,state_id,state_name,county
99694,61.6303,-149.8181,Houston,AK,Alaska,Matanuska-Susitna Borough
99659,63.4776,-162.1091,Saint Michael,AK,Alaska,Nome (CA)
99671,63.5222,-162.2881,Stebbins,AK,Alaska,Nome (CA)
99684,63.8835,-160.7884,Unalakleet,AK,Alaska,Nome (CA)
99739,64.6217,-162.2604,Elim,AK,Alaska,Nome (CA)
99742,63.7766,-171.7017,Gambell,AK,Alaska,Nome (CA)
99753,64.9319,-161.1569,Koyuk,AK,Alaska,Nome (CA)
99762,64.5011,-165.4064,Nome,AK,Alaska,Nome (CA)
99769,63.6797,-170.4709,Savoonga,AK,Alaska,Nome (CA)
99771,64.3537,-161.1932,Shaktoolik,AK,Alaska,Nome (CA)
99772,66.2306,-166.1373,Shishmaref,AK,Alaska,Nome (CA)
99778,65.2402,-166.3833,Teller,AK,Alaska,Nome (CA)
99783,65.6092,-168.0875,Wales,AK,Alaska,Nome (CA)
99784,64.6814,-163.4056,White Mountain,AK,Alaska,Nome (CA)
99785,65.3342,-166.4786,Brevig Mission,AK,Alaska,Nome (CA)
99721,68.1433,-151.7358,Anaktuvuk Pass,AK,Alaska,North Slope
99723,71.2346,-156.8174,Barrow,AK,Alaska,North Slope
99734,70.2922,-148.6694,Prudhoe Bay,AK,Alaska,North Slope
